USER_ADDRESS,CURRENT_BALANCE
0x0fb133f8b9dcb7567fab9dbe67a3da315df66adf,10000
0xb94dada93ba88303d632b9a6c9f09f8f9eb8ca48,10000
0xe3a389851ddaf21bbd5c61417b7768c99f6c8033,10000
0x254e363d4e851d150c1e3ad7fff5cd408dddd35e,5001
0xc5f479cdf2e3062aac3fd141691e6b32ace244e8,5000
0xc04ac264d01dbbac8307121137a23cdee231cdcf,5000
0x62e5438c32e69872fe24922a9353de6387682556,5000
0x80f2d2b2d778fdcb3f231a9ed403b6963676c869,3382.460332484
0x939ced8875d1cd75d8b9aca439e6526e9a822a48,2147.652276319
0x1f84ca2c0a406b32e083e4e41032fd148364df48,1818.53758508
0x45b6183accdd2391acb272d7f9dfa5542dabbd31,1644.887716626
0xf66a5b3e3a36e9319541d62fb489caa252edbf8f,1285.406102632
0x4c9f7207be28278b9dca129f2e211acfff48fb01,703.302387737
0xc3ee6b2e8247007921e860b7affec14393d82c27,697.307032708
0xc0ddbaaeed6fc3e2f4f4efa5778383b0e356621e,556.757714293
0xec9dcfe885d3baa0410f2415c99e6d96d4f68920,542.4
0x43bd1fee2971702a89693e760def4059b22fa890,482.540972135
0x66cd62c6f8a4bb0cd8720488bcbd1a6221b765f9,481.762052231
0x97974ddd96d2838ba218cc26695400f6cb289e61,454.37389764
0xb7a35196efa16c9e32d9f18af6a01bd3c95be2fe,352.808611958
0x26607ac599266b21d13c7acf7942c7701a8b699c,336.277089735
0x1b72bac3772050fdcaf468cce7e20deb3cb02d89,252.377602751
0xea5b03c317f71ac39c2cd2272694d2f265def386,250.01118997
0xf2eb9cd233744f22039eb32cbe391513f009a52a,238.070103819
0x98fde0e52fd38eee6d319b3e45bcaff48237384c,168.626
0xb9988c00739e59b80ff8ddc61f00fdc7e7c84688,161.307075195
0x2e1a8103bd8e83402fe2562a240cb0b2e3ed4137,150
0x02087e2b6c04654022ce02f9c5890eca617ccc28,125.911709355
0x64599090962b127353ab92556a01e38f1aea5932,123.626158734
0xa0f75491720835b36edc92d06ddc468d201e9b73,114.428818
0xb3b5f62472afef5363e21a71d5bd17da6e9761f6,109.85595617
0xa4f2b2557d78e31d48e1ffa8af8b25db8524ea3c,106.421101356
0x28bd78450d2684f517f9da917c4ff3460fd42af3,102.787089949
0xd4eddcef8643be102338e1d967d2516bd8904fef,100
0x50c1a709f810053f40763fba99f5f11b9b486289,99.972
0x76334d378bed3c68eb60a6256f524a4f6aa7b696,99.577108961
0x1f96f5abedadc10ed50da16f477cbcf86a900b4c,89.84799
0xac77fd3f93487ee21fcdb422dacb9ad0a13440a8,80.32276769
0xcf7058370dc4376536a58e09d619b5ff2969516c,72.895111453
0xa509ce524095e54233074b485825ebb9641d00e2,68.984996
0xfe9873652df7216f580110651776578978bf1853,61.511056185
0xf8210ee33b710ac8b05e3cb9ca6eee22851a5ab7,60.245417735
0x0ac29a22542aa9898370b0a358ab030950d92766,56.692640151
0xc48985dbca3bfa841467ead54732bfa5f8a7c9ae,55.04290226
0x49cca95dd672b7f931428337b1d7437319f38515,52.166194775
0xfcb342a846acfae23bf9533cc6afd3059d32f1cc,50.851621837
0x54a37d93e57c5da659f508069cf65a381b61e189,50.8
0x391891af67e29d97e61e30c3036a0874f5da411e,46.170203597
0xfa6de2697d59e88ed7fc4dfe5a33dac43565ea41,43.154015251
